,Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value
1147,CHEMBL1288160,,,352.44,0.0,4.0,61,O=C(Cc1cccc2cnccc12)Nc1scnc1-c1cscn1,IC50,'=',48.0,nM,7.32,,,UO_0000065,20.77,0.42,3.32,10.8,0,CHEMBL1291185,Inhibition of recombinant JNK1 after 60 mins by TR-FRET assay,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1287787,1,Scientific Literature,Bioorg Med Chem Lett,2010.0,,,,
1148,CHEMBL2204099,,,458.51,0.0,2.54,24e,COC(=O)c1c(CN2CC[C@H](S(C)(=O)=O)C2)c(=O)c2ccc(F)cc2n1-c1ccccc1,IC50,'=',53.0,nM,7.28,,,UO_0000065,15.87,0.31,4.74,8.49,0,CHEMBL2216094,Inhibition of human JNK1 alpha1 using GST-tagged ATF2 as substrate and [gamma33P]ATP incubated for 10 mins prior to substrate addition measured after 30 mins by scintillation counting,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL2203077,1,Scientific Literature,Bioorg Med Chem Lett,2012.0,,,,
1149,CHEMBL2152392,,,562.67,1.0,4.4,5,COC(=O)c1c(Cc2ccc(C(=O)N[C@@H]3[C@@H]4C[C@@H]5C[C@H]3C[C@@](N)(C5)C4)cc2)c(=O)c2cccnc2n1-c1ccccc1,IC50,'=',49.0,nM,7.31,,,UO_0000065,12.99,0.24,2.91,6.28,0,CHEMBL2153878,Inhibition of JNK1 after 30 mins by TR-FRET assay,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL2150995,1,Scientific Literature,ACS Med Chem Lett,2012.0,,,,
1150,CHEMBL205402,,,382.43,0.0,4.24,10c,Cc1cnc(C(=O)Nc2cc(-c3ccnc(Nc4ccccc4)c3)ccn2)cn1,IC50,'=',261.0,nM,6.58,,,UO_0000065,17.21,0.31,2.34,7.1,0,CHEMBL862177,Inhibition of JNK1,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1139041,1,Scientific Literature,Bioorg Med Chem Lett,2006.0,,,,
1151,CHEMBL244628,,,312.37,0.0,3.66,7c,O=C(O)c1ccccc1Nc1ccnc(NC2CCCCC2)n1,IC50,'=',400.0,nM,6.4,,,UO_0000065,20.48,0.38,2.74,7.34,0,CHEMBL905885,Inhibition at human JNK1 at 1uM,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1143787,1,Scientific Literature,Bioorg Med Chem Lett,2007.0,,,,
1152,CHEMBL2380578,,,342.38,0.0,2.15,17a,CCOc1cc2c(-c3cccc(S(N)(=O)=O)c3)n[nH]c2cc1C#N,IC50,'=',175.0,nM,6.76,,,UO_0000065,19.74,0.38,4.61,5.54,0,CHEMBL2383387,Inhibition of JNK1 (unknown origin) using ATF2 as substrate measured after 1 hr by ELISA,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL2380259,1,Scientific Literature,J Med Chem,2013.0,,,,
1153,CHEMBL1822307,,,444.39,0.0,4.25,56,N#Cc1csc(NC(=O)Cn2c(=O)ccc3cc(C(F)(F)F)ccc32)c1-c1ncco1,IC50,'=',4.0,nM,8.4,,,UO_0000065,18.9,0.37,4.15,8.32,0,CHEMBL1825598,Inhibition of recombinant JNK1 using ser73 of c-jun as substrate preincubated for 15 mins measured after 60 mins by TR-FRET assay,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1821697,1,Scientific Literature,Bioorg Med Chem Lett,2011.0,,,,
1154,CHEMBL1784083,,,398.69,0.0,3.7,4b,CN1CCN(c2c(Cl)cccc2NC(=O)c2ccc(Br)o2)CC1,IC50,'=',360.0,nM,6.44,,,UO_0000065,16.16,0.38,2.74,13.23,0,CHEMBL1787506,Inhibition of JNK1 using biotinylated ATF2 and ATP substrates by HTRF assay,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1782035,1,Scientific Literature,Bioorg Med Chem Lett,2009.0,,,,
1155,CHEMBL1784089,,,464.75,0.0,4.86,4i,O=C(Nc1cccc(Cl)c1N1CCN(Cc2ccco2)CC1)c1ccc(Br)o1,IC50,'=',270.0,nM,6.57,,,UO_0000065,14.13,0.32,1.71,10.62,0,CHEMBL1787506,Inhibition of JNK1 using biotinylated ATF2 and ATP substrates by HTRF assay,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1782035,1,Scientific Literature,Bioorg Med Chem Lett,2009.0,,,,
1156,CHEMBL1783589,,,360.39,0.0,3.32,9e,Cc1cccc(NC(=O)c2ccc(F)o2)c1N1CCC2(CC1)OCCO2,IC50,'=',210.0,nM,6.68,,,UO_0000065,18.53,0.35,3.36,10.44,0,CHEMBL1787506,Inhibition of JNK1 using biotinylated ATF2 and ATP substrates by HTRF assay,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1782035,1,Scientific Literature,Bioorg Med Chem Lett,2009.0,,,,
1157,CHEMBL2204106,,,496.97,0.0,3.93,13a,CNS(=O)(=O)c1ccc(Cc2c(C(=O)OC)n(-c3ccccc3)c3cc(Cl)ccc3c2=O)cc1,IC50,'=',47.0,nM,7.33,,,UO_0000065,14.75,0.29,3.4,7.76,0,CHEMBL2216094,Inhibition of human JNK1 alpha1 using GST-tagged ATF2 as substrate and [gamma33P]ATP incubated for 10 mins prior to substrate addition measured after 30 mins by scintillation counting,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL2203077,1,Scientific Literature,Bioorg Med Chem Lett,2012.0,,,,
1159,CHEMBL220812,,,415.48,0.0,1.01,18,CC(C)NC(=O)c1nc(C(=O)NCc2ccc(S(C)(=O)=O)cc2)cc(N)c1C#N,IC50,'=',430.0,nM,6.37,,,UO_0000065,,,,,0,CHEMBL853925,Inhibition of JNK1 by ATF2 phosphorylation assay,F,BAO_0000019,assay format,Homo sapiens,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1139733,1,Scientific Literature,Bioorg Med Chem Lett,2006.0,,,,
1164,CHEMBL261086,,,425.53,1.0,5.85,13c,CCCCc1ccc2c(=O)n(Cc3ccccc3)c(C(=O)OC)c(-c3ccccc3)c2c1,IC50,'=',1500.0,nM,5.82,,,UO_0000065,13.69,0.25,-0.03,12.06,0,CHEMBL939932,Inhibition of human JNK1 by radiometric assay,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1142440,1,Scientific Literature,Bioorg Med Chem,2008.0,,,,
1167,CHEMBL1923192,,,417.39,1.0,5.13,10d,CCOc1ccc(Oc2cc(Nc3ccccc3C(N)=O)c(C(F)(F)F)cn2)cc1,IC50,'=',35.0,nM,7.46,,,UO_0000065,17.86,0.34,2.33,8.62,0,CHEMBL1925288,Inhibition of JNK1 using biotinylated-ATF2 as substrate by HTRF assay,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1921763,1,Scientific Literature,Bioorg Med Chem Lett,2011.0,,,,
1168,CHEMBL1950295,,,444.49,0.0,3.92,8,O[C@H]1CC[C@H](Nc2ncc3nc(Nc4ccc(F)cc4F)n(C4CCOCC4)c3n2)CC1,IC50,'=',390.0,nM,6.41,,,UO_0000065,14.42,0.27,2.49,6.6,0,CHEMBL1952891,Inhibition of hexa-His-tagged JNK1 expressed in baculoviral system using GST-tagged c-Jun as substrate preincubated for 15 mins prior ATP addition measured after 60 mins by scintillation counting,B,BAO_0000019,assay format,,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1949521,1,Scientific Literature,Bioorg Med Chem Lett,2012.0,,,,
1169,CHEMBL1090089,PAMAPIMOD,2.0,406.39,0.0,1.94,5,Cn1c(=O)c(Oc2ccc(F)cc2F)cc2cnc(NC(CCO)CCO)nc21,IC50,'=',5420.0,nM,5.27,,,UO_0000065,12.96,0.25,3.33,4.81,0,CHEMBL3751431,Inhibition of JNK1 (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3745672,1,Scientific Literature,Bioorg Med Chem Lett,2016.0,,,,
1170,CHEMBL3747126,,,387.39,0.0,2.56,13,Cn1c(=O)c(Oc2ccc(F)cc2F)cc2cnc(NC3CCNCC3)nc21,IC50,'=',10930.0,nM,4.96,,,UO_0000065,12.81,0.24,2.4,6.12,0,CHEMBL3751431,Inhibition of JNK1 (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3745672,1,Scientific Literature,Bioorg Med Chem Lett,2016.0,,,,
1171,CHEMBL2204114,,,455.51,0.0,3.82,19c,CCNC(=O)c1ccc(Cc2c(C(=O)OC)n(-c3ccccc3)c3nc(C)ccc3c2=O)cc1,IC50,'=',45.0,nM,7.35,,,UO_0000065,16.13,0.3,3.53,8.14,0,CHEMBL2216094,Inhibition of human JNK1 alpha1 using GST-tagged ATF2 as substrate and [gamma33P]ATP incubated for 10 mins prior to substrate addition measured after 30 mins by scintillation counting,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL2203077,1,Scientific Literature,Bioorg Med Chem Lett,2012.0,,,,
1172,CHEMBL206989,,,293.71,0.0,1.54,7s,Cc1nn(CCO)c2c1c(=O)c1cc(Cl)ccc1n2O,IC50,'=',7670.0,nM,5.12,,,UO_0000065,17.42,0.35,3.58,6.37,0,CHEMBL866909,Inhibition of JNK1,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1147685,1,Scientific Literature,Bioorg Med Chem Lett,2006.0,,,,
1175,CHEMBL1950296,,,399.45,0.0,4.86,9,Fc1ccc(Nc2nc3cnc(C4CCOCC4)nc3n2C2CCCC2)c(F)c1,IC50,'=',900.0,nM,6.05,,,UO_0000065,15.14,0.28,1.19,9.32,0,CHEMBL1952891,Inhibition of hexa-His-tagged JNK1 expressed in baculoviral system using GST-tagged c-Jun as substrate preincubated for 15 mins prior ATP addition measured after 60 mins by scintillation counting,B,BAO_0000019,assay format,,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1949521,1,Scientific Literature,Bioorg Med Chem Lett,2012.0,,,,
1176,CHEMBL2380574,,,295.34,0.0,3.59,9a,CCOc1ccc2[nH]nc(-c3ccc(NC(C)=O)cc3)c2c1,IC50,'=',169.0,nM,6.77,,,UO_0000065,22.93,0.42,3.18,10.11,0,CHEMBL2383387,Inhibition of JNK1 (unknown origin) using ATF2 as substrate measured after 1 hr by ELISA,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL2380259,1,Scientific Literature,J Med Chem,2013.0,,,,
1177,CHEMBL3355146,,,446.9,1.0,5.13,8c,Cc1ccc(NC(=O)c2cccc(-n3cc(NC(=O)Nc4ccccc4Cl)cn3)c2)cn1,IC50,'=',170.0,nM,6.77,,,UO_0000065,15.15,0.29,1.64,6.71,0,CHEMBL3372266,Inhibition of JNK1 (unknown origin) after 1 hr by homogeneous time-resolved fluorescence assay,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3352539,1,Scientific Literature,J Med Chem,2014.0,,,,
1178,CHEMBL3342926,,,227.27,0.0,1.97,10f,O=C(NC1CC1)c1cc(-c2ccccc2)[nH]n1,IC50,'=',6200.0,nM,5.21,,,UO_0000065,22.91,0.42,3.24,9.01,0,CHEMBL3373992,Inhibition of FLAG-tagged JNK-1 (unknown origin) transfected in African green monkey COS cells by SDS-PAGE analysis,B,BAO_0000219,cell-based format,Homo sapiens,,,COS,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3352082,1,Scientific Literature,Bioorg Med Chem,2014.0,,,,
1179,CHEMBL1822147,,,498.28,0.0,4.27,43,O=C(Cn1c(=O)ccc2ccc(C(F)(F)F)cc21)Nc1scc(Br)c1-c1ncn[nH]1,IC50,'=',6.0,nM,8.22,,,UO_0000065,16.5,0.37,3.95,8.87,0,CHEMBL1825598,Inhibition of recombinant JNK1 using ser73 of c-jun as substrate preincubated for 15 mins measured after 60 mins by TR-FRET assay,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1821697,1,Scientific Literature,Bioorg Med Chem Lett,2011.0,,,,
1181,CHEMBL2425652,,,309.38,0.0,1.89,4,N[C@H]1CC[C@H](Nc2nccc(-n3nnc4ccccc43)n2)CC1,IC50,'=',74.0,nM,7.13,,,UO_0000065,23.05,0.42,5.24,7.54,0,CHEMBL2429340,Inhibition of human JNK1 assessed as inhibition of GST-tagged ATF2 (19 to 96) phosphorylation incubated for 10 mins prior to substrate addition measured after 30 mins by scintillation counting analysis in presence of [gamma-33P]-ATP,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL2424622,1,Scientific Literature,Bioorg Med Chem Lett,2013.0,,,,
1184,CHEMBL2425649,,,407.48,0.0,2.04,8,O=C([C@H]1CC[C@H](Nc2nccc(-n3nnc4ccccc43)n2)CC1)N1CCOCC1,IC50,'=',63.0,nM,7.2,,,UO_0000065,17.67,0.33,5.16,7.34,0,CHEMBL2429340,Inhibition of human JNK1 assessed as inhibition of GST-tagged ATF2 (19 to 96) phosphorylation incubated for 10 mins prior to substrate addition measured after 30 mins by scintillation counting analysis in presence of [gamma-33P]-ATP,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL2424622,1,Scientific Literature,Bioorg Med Chem Lett,2013.0,,,,
1185,CHEMBL2420561,,,443.55,0.0,4.48,24,CC[C@H](NC(=O)c1ccc2nc(N[C@H]3CC[C@H](O)CC3)c3nccn3c2c1)c1ccccc1,IC50,'=',1700.0,nM,5.77,,,UO_0000065,13.01,0.24,1.29,6.3,0,CHEMBL2424261,Inhibition of human recombinant histidine-tagged full-length JNK1 expressed in insect cells using GST-tagged MAP2K7 as substrate after 1 hr by luminescence plate reader analysis,B,BAO_0000219,cell-based format,Homo sapiens,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL2417377,1,Scientific Literature,Bioorg Med Chem Lett,2013.0,,,,
1187,CHEMBL243750,,,401.22,0.0,4.13,14d,O=C(O)c1ccccc1Nc1nc(Nc2cccc(O)c2)ncc1Br,IC50,'=',20.0,nM,7.7,,,UO_0000065,19.19,0.42,3.57,7.17,0,CHEMBL905885,Inhibition at human JNK1 at 1uM,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1143787,1,Scientific Literature,Bioorg Med Chem Lett,2007.0,,,,
1188,CHEMBL243519,,,336.35,0.0,3.68,8j,Cc1c(O)cccc1Nc1nccc(Nc2ccccc2C(=O)O)n1,IC50,'=',278.0,nM,6.56,,,UO_0000065,19.49,0.36,2.88,6.11,0,CHEMBL905885,Inhibition at human JNK1 at 1uM,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1143787,1,Scientific Literature,Bioorg Med Chem Lett,2007.0,,,,
1190,CHEMBL3674697,,,526.67,1.0,1.3,BDBM102575,CS(=O)(=O)N[C@H]1CC[C@H](Nc2nccc(-n3ccc4c(N5CCN(C(=O)CN)CC5)cccc43)n2)CC1,IC50,'=',77.7,nM,7.11,,220103,UO_0000065,13.5,0.26,5.81,5.13,0,CHEMBL3705344,In Vitro Inhibition Assay: JNK activity was measured by phosphorylation of GST-ATF2 (19-96) with [gamma-33P] ATP.,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3638640,37,BindingDB Database,,2013.0,,,,
1192,CHEMBL3674709,,,526.6,1.0,3.16,BDBM102587,N#CCC(=O)O[C@H]1CCC[C@H](Nc2nccc(-n3ccc4c(N5CCN(C(=O)CC#N)CC5)cccc43)n2)C1,IC50,'=',167.8,nM,6.78,,220155,UO_0000065,12.87,0.24,3.62,4.83,0,CHEMBL3705344,In Vitro Inhibition Assay: JNK activity was measured by phosphorylation of GST-ATF2 (19-96) with [gamma-33P] ATP.,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3638640,37,BindingDB Database,,2013.0,,,,
1193,CHEMBL208447,,,310.36,0.0,2.42,6j,CCOc1nc(NC(=O)Cc2cccc(C)c2)cc(N)c1C#N,IC50,'=',420.0,nM,6.38,,,UO_0000065,20.55,0.38,3.96,6.31,0,CHEMBL860181,Inhibition of JNK1-mediated ATF2 phosphorylation,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1148638,1,Scientific Literature,J Med Chem,2006.0,,,,
1194,CHEMBL411635,,,383.45,0.0,4.81,13b,COC(=O)c1c(-c2ccccc2)c2cc(C)ccc2c(=O)n1Cc1ccccc1,IC50,'=',61.0,nM,7.21,,,UO_0000065,18.82,0.34,2.4,14.94,0,CHEMBL939932,Inhibition of human JNK1 by radiometric assay,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1142440,1,Scientific Literature,Bioorg Med Chem,2008.0,,,,
1195,CHEMBL410318,,,369.42,0.0,4.5,13a,COC(=O)c1c(-c2ccccc2)c2ccccc2c(=O)n1Cc1ccccc1,IC50,'=',95.0,nM,7.02,,,UO_0000065,19.01,0.34,2.52,14.54,0,CHEMBL939932,Inhibition of human JNK1 by radiometric assay,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1142440,1,Scientific Literature,Bioorg Med Chem,2008.0,,,,
1196,CHEMBL260429,,,647.5,2.0,5.76,12c,COC(=O)c1c(-c2ccccc2)c2cc(Br)ccc2c(=O)n1Cc1ccc(NS(=O)(=O)c2ccc(C(=O)O)cc2)cc1,IC50,'=',3.3,nM,8.48,,,UO_0000065,13.1,0.28,2.72,6.44,0,CHEMBL939932,Inhibition of human JNK1 by radiometric assay,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1142440,1,Scientific Literature,Bioorg Med Chem,2008.0,,,,
1197,CHEMBL248370,,,407.45,0.0,3.24,5,CCNC(=O)N1CCC(Nc2ncc(C#N)c(-c3c[nH]c4cc(F)ccc34)n2)CC1,IC50,'=',92.0,nM,7.04,,,UO_0000065,17.27,0.32,3.8,6.41,0,CHEMBL886370,Inhibition of JNK1,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1139954,1,Scientific Literature,Bioorg Med Chem Lett,2007.0,,,,
1198,CHEMBL245935,,,468.01,0.0,4.51,28,CC1CCN(NC(=O)N2CCC(Nc3ncc(Cl)c(-c4c[nH]c5ccccc45)n3)CC2)CC1,IC50,'=',47.0,nM,7.33,,,UO_0000065,15.66,0.3,2.82,8.22,0,CHEMBL886370,Inhibition of JNK1,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1139954,1,Scientific Literature,Bioorg Med Chem Lett,2007.0,,,,
1199,CHEMBL245535,,,426.91,0.0,2.82,24,CC(=O)NCC(=O)N1CCC(Nc2ncc(Cl)c(-c3c[nH]c4ccccc34)n2)CC1,IC50,'=',28.0,nM,7.55,,,UO_0000065,17.69,0.34,4.73,7.33,0,CHEMBL886370,Inhibition of JNK1,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1139954,1,Scientific Literature,Bioorg Med Chem Lett,2007.0,,,,
1200,CHEMBL3355180,,,466.97,0.0,4.39,26m,O=C(Nc1cnn(-c2cccc(C(=O)NCCCN3CCCC3)c2)c1)Nc1ccccc1Cl,IC50,'=',4728.0,nM,5.33,,,UO_0000065,11.4,0.22,0.94,5.83,0,CHEMBL3372266,Inhibition of JNK1 (unknown origin) after 1 hr by homogeneous time-resolved fluorescence assay,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3352539,1,Scientific Literature,J Med Chem,2014.0,,,,
1201,CHEMBL1644636,,,402.46,0.0,2.95,29,Nc1cccc2ccc(-n3c(-c4ccnc(NC5CCOCC5)c4)n[nH]c3=O)cc12,IC50,'=',2600.0,nM,5.58,,,UO_0000065,13.88,0.25,2.64,5.04,0,CHEMBL1648827,Inhibition of recombinant JNK1 after 60 mins by TR-FRET assay,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1641539,1,Scientific Literature,Bioorg Med Chem Lett,2011.0,,,,
1204,CHEMBL380625,,,367.41,0.0,4.53,10e,O=C(Nc1cc(-c2ccnc(Nc3ccccc3)c2)ccn1)c1cccnc1,IC50,'=',780.0,nM,6.11,,,UO_0000065,16.62,0.3,1.58,7.65,0,CHEMBL862177,Inhibition of JNK1,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1139041,1,Scientific Literature,Bioorg Med Chem Lett,2006.0,,,,
1205,CHEMBL379254,,,348.41,0.0,3.86,10b,COCCC(=O)Nc1cc(-c2ccnc(Nc3ccccc3)c2)ccn1,IC50,'=',451.0,nM,6.35,,,UO_0000065,18.21,0.33,2.49,8.33,0,CHEMBL862177,Inhibition of JNK1,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1139041,1,Scientific Literature,Bioorg Med Chem Lett,2006.0,,,,
1206,CHEMBL202676,,,420.49,1.0,5.17,11,CO[C@H]1CC[C@@H](C(=O)Nc2cc(-c3ccnc(Nc4ccc(F)cc4)c3)ccn2)CC1,IC50,'=',88.0,nM,7.06,,,UO_0000065,16.78,0.31,1.89,9.27,0,CHEMBL862177,Inhibition of JNK1,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1139041,1,Scientific Literature,Bioorg Med Chem Lett,2006.0,,,,
1207,CHEMBL2376923,,,442.52,0.0,3.23,5o,O=C(NCCN1CCOCC1)c1cccc(-n2ncc3cc(Nc4ccccn4)ccc32)c1,IC50,'=',7100.0,nM,5.15,,,UO_0000065,11.64,0.21,1.92,6.11,0,CHEMBL2379719,Inhibition of JNK1 (unknown origin)-mediated ATF2 Thr71 phosphorylation by HTRF assay,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL2375283,1,Scientific Literature,Bioorg Med Chem Lett,2013.0,,,,
1210,CHEMBL2392834,,,510.66,1.0,3.29,18,CC(=O)N[C@H]1CC[C@H](Nc2nccc(-n3ccc4c(N5CCC(S(C)(=O)=O)CC5)cccc43)n2)CC1,IC50,'=',7.0,nM,8.15,,,UO_0000065,15.97,0.31,4.86,7.47,0,CHEMBL2393735,Inhibition of human JNK1alpha1 using GST-tagged ATF2 as substrate preincubated for 10 mins prior to substrate addition measured after 30 mins by microplate scintillation counting analysis,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL2390842,1,Scientific Literature,Bioorg Med Chem Lett,2013.0,,,,
1211,CHEMBL2420580,,,359.46,0.0,2.15,5,CS(=O)(=O)N[C@H]1CC[C@H](Nc2nc3ccccc3n3ccnc23)CC1,IC50,'=',2400.0,nM,5.62,,,UO_0000065,15.63,0.31,3.47,6.36,0,CHEMBL2424261,Inhibition of human recombinant histidine-tagged full-length JNK1 expressed in insect cells using GST-tagged MAP2K7 as substrate after 1 hr by luminescence plate reader analysis,B,BAO_0000219,cell-based format,Homo sapiens,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL2417377,1,Scientific Literature,Bioorg Med Chem Lett,2013.0,,,,
